32.16.HN,AGRICULTURE BANK INSURANCE JOINT – STOCK CORPORATION,ABIC,2016-03-29 00:00:00.000,32.16.HN.TS1,2016-07-27 00:00:00.000,2017-01-10
39.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-03-30 00:00:00.000,39.16.SG.TS1,2016-11-09 00:00:00.000,2017-01-24
40.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-03-31 00:00:00.000,40.16.SG.TS1,2016-09-14 00:00:00.000,2016-09-14
41.16.SG,QBE INSURANCE (VIETNAM) CO., LTD,QBE,2016-04-01 00:00:00.000,41.16.SG.TS1,2017-03-10 00:00:00.000,2017-07-24
42.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-04-03 00:00:00.000,42.16.SG.TS1,2016-09-22 00:00:00.000,2016-09-22
43.16.SG,BAO VIET INSURANCE CORPORATION - HO CHI MINH BRANCH,BVHCM,2016-04-04 00:00:00.000,43.16.SG.TS1,2016-09-21 00:00:00.000,2016-09-21
44.16.SG,GLOBAL INSURANCE CORPORATION,GIC,2016-04-06 00:00:00.000,44.16.SG.TS1,2016-04-27 00:00:00.000,2016-05-06
45.16.SG,BAO MINH BEN THANH,BMBT,2016-04-08 00:00:00.000,45.16.SG.TS1,2016-11-09 00:00:00.000,NULL
46.16.SG,POST TELECOMUNICATION INSURANCE,PTI,2016-04-14 00:00:00.000,46.16.SG.TS1,2017-02-28 00:00:00.000,2017-04-03
48.16.SG,BAO LONG INSURANCE CORPORATION,BAOLONG,2016-04-19 00:00:00.000,48.16.SG.TS1,2016-11-17 00:00:00.000,2016-11-17
49.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-04-19 00:00:00.000,49.16.SG.TS1,2016-10-14 00:00:00.000,2017-03-03
50.16.SG,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-04-19 00:00:00.000,50.16.SG.TS1,2017-04-26 00:00:00.000,2017-04-27
51.16.SG,BAO MINH INSURANCE CORP.,BAOMINH,2016-04-21 00:00:00.000,51.16.SG.TS1,2017-03-30 00:00:00.000,2017-05-31
33.16.HN,BAO MINH INSURANCE CORP.,BAOMINH,2016-04-24 00:00:00.000,33.16.HN.TS1,2017-02-08 00:00:00.000,2017-03-13
53.16.SG,UNITED INSURANCE COMPANY OF VIETNAM,UIC,2016-04-27 00:00:00.000,53.16.SG.TS1,2016-09-23 00:00:00.000,2016-09-23
54.16.SG,BAO MINH BEN THANH,BMBT,2016-05-06 00:00:00.000,54.16.SG.TS1,2016-11-09 00:00:00.000,NULL
55.16.SG,PVI INSURANCE CORPORATION - PVI HCM,PVI HCM,2016-05-17 00:00:00.000,55.16.SG.TS1,2016-10-11 00:00:00.000,2016-10-18
56.16.SG,PVI INSURANCE CORPORATION - DONG DO BRANCH,PVI DD,2016-05-18 00:00:00.000,56.16.SG.TS1,2016-08-16 00:00:00.000,2016-08-16
57.16.SG,BAO MINH BEN THANH,BMBT,2016-05-20 00:00:00.000,57.16.SG.TS1,2016-11-09 00:00:00.000,NULL
34.16.HN,MILITARY INSURANCE CORPORATION,MIC,2016-05-20 00:00:00.000,34.16.HN.TS1,2018-01-13 00:00:00.000,2018-06-19
35.16.HN,PVI INSURANCE CORPORATION,PVI,2016-05-25 00:00:00.000,35.16.HN.TS1,2016-10-17 00:00:00.000,2017-04-28
36.16.HN,GLOBAL INSURANCE CORPORATION,GIC,2016-05-25 00:00:00.000,36.16.HN.TS1,2018-06-29 00:00:00.000,2018-08-08
37.16.HN,GLOBAL INSURANCE CORPORATION,GIC,2016-05-26 00:00:00.000,37.16.HN.TS1,2017-08-01 00:00:00.000,2017-08-14
38.16.HN,PVI INSURANCE CORPORATION,PVI,2016-05-26 00:00:00.000,38.16.HN.TS1,2016-12-29 00:00:00.000,2017-03-08
